Trial,Population,Generations,Crossover,Mutation,Pareto Size
1,100,200,0.8,0.3,4
2,150,250,0.6,0.05,8
3,200,50,0.6,0.3,6
4,250,250,0.8,0.1,6
5,150,50,0.6,0.1,6
6,100,100,0.6,0.2,5
7,250,150,0.5,0.2,6
8,100,250,0.5,0.15,3
9,300,100,0.6,0.15,3
10,150,50,0.8,0.05,9
11,200,200,0.5,0.15,4
12,150,200,0.8,0.1,7
13,100,200,0.5,0.05,6
14,250,100,0.9,0.05,11
15,100,250,0.8,0.25,6
16,300,100,0.5,0.25,5
17,150,250,0.7,0.2,5
18,100,250,0.7,0.2,3
19,250,150,0.8,0.05,5
20,100,250,0.5,0.05,6
21,200,50,0.6,0.3,7
22,300,50,0.5,0.3,9
23,200,100,0.9,0.15,8
24,50,200,0.5,0.05,5
25,50,150,0.6,0.2,6
26,100,250,0.6,0.3,3
27,150,50,0.9,0.3,4
28,200,100,0.8,0.2,7
29,100,100,0.6,0.1,5
30,300,50,0.9,0.15,18
31,250,200,0.7,0.05,4
32,250,100,0.8,0.25,6
33,300,100,0.9,0.3,3
34,300,250,0.9,0.1,3
35,200,50,0.7,0.25,5
36,200,50,0.6,0.15,3
37,250,250,0.9,0.25,5
38,50,50,0.5,0.2,5
39,300,100,0.5,0.15,4
40,250,250,0.9,0.15,9
41,250,50,0.8,0.1,11
42,50,50,0.8,0.15,3
43,50,250,0.5,0.15,6
44,250,50,0.9,0.3,5
45,150,100,0.9,0.3,10
46,300,100,0.9,0.25,5
47,150,100,0.9,0.3,2
48,150,50,0.5,0.05,7
49,150,150,0.9,0.3,8
50,150,250,0.9,0.15,5
51,100,100,0.7,0.25,6
52,200,50,0.8,0.2,6
53,300,150,0.5,0.05,6
54,100,100,0.7,0.3,5
55,50,200,0.5,0.05,4
56,300,250,0.7,0.2,4
57,100,200,0.9,0.1,5
58,200,200,0.8,0.2,6
59,150,50,0.9,0.3,9
60,300,150,0.8,0.15,4
61,150,250,0.8,0.1,9
62,300,150,0.5,0.15,4
63,150,50,0.5,0.25,6
64,150,150,0.7,0.1,6
65,50,100,0.7,0.25,5
66,50,200,0.6,0.2,4
67,300,100,0.9,0.3,5
68,50,150,0.7,0.05,5
69,150,250,0.8,0.1,7
70,250,100,0.8,0.2,8
71,250,250,0.9,0.15,5
72,150,100,0.5,0.2,5
73,200,150,0.5,0.25,6
74,150,150,0.6,0.05,6
75,150,150,0.5,0.25,8
76,250,250,0.5,0.05,7
77,150,200,0.7,0.2,3
78,300,100,0.8,0.25,7
79,150,150,0.8,0.2,3
80,300,150,0.7,0.2,6
81,200,50,0.8,0.1,4
82,100,50,0.5,0.05,4
83,300,250,0.6,0.25,4
84,150,150,0.5,0.15,10
85,250,50,0.7,0.05,5
86,300,50,0.9,0.05,4
87,50,200,0.9,0.1,4
88,150,200,0.7,0.2,5
89,50,250,0.5,0.1,5
90,100,150,0.6,0.25,8
91,100,250,0.5,0.15,8
92,100,50,0.7,0.2,6
93,50,50,0.6,0.05,4
94,300,100,0.7,0.2,6
95,200,200,0.9,0.1,7
96,50,200,0.9,0.2,4
97,150,50,0.6,0.05,6
98,150,200,0.5,0.2,5
99,100,200,0.8,0.3,9
100,150,250,0.9,0.05,11
